# Measurement sample h(x) — 200 samples x 5 channels
# State estimator predictions corresponding to y
1.4896,-3.7989,0.4621,3.0751,3.3637
7.4139,6.7190,-5.2623,8.4958,-2.5774
5.3699,0.4410,-2.3139,-9.4434,-0.5961
-7.7412,5.1813,7.5705,-4.4061,1.7997
-3.7381,-3.0398,3.6782,0.3006,8.4353
-2.5124,5.0289,0.1594,4.0780,-1.7522
-0.3949,-0.4590,-5.0051,3.2987,3.1573
2.7222,8.0093,7.1489,-1.9280,1.7521
-3.6930,-0.2228,-2.7104,7.4674,1.5886
-1.2101,6.4912,-10.6225,-10.2377,4.3705
0.0802,1.5550,-7.0396,0.2058,9.8957
3.8124,0.7834,-2.1121,-2.1213,-10.4798
1.1133,4.4135,-7.7454,-3.3254,-5.9197
-4.7813,0.4325,-9.8035,3.3532,4.0621
-0.3290,-12.2488,-4.8367,6.3757,-14.1927
-1.8708,-6.0519,4.2171,-3.4278,2.0612
3.1535,9.4401,-1.0632,1.6792,-7.0847
6.1842,-4.2844,-2.8977,-0.0616,-7.5808
1.4169,4.9225,1.6402,-7.9252,-0.8212
3.6318,-9.3842,-5.3842,3.8170,1.2312
2.0767,9.2131,2.2687,3.4358,13.2300
-1.5574,-4.0939,2.3682,2.7012,-2.3989
-5.6025,11.4795,1.7112,-3.6081,4.7414
-0.8208,-1.2449,2.9375,-6.2117,1.5214
9.4612,1.5197,-2.0675,-2.6929,-2.3576
-1.2201,-1.9058,3.9038,-8.6014,4.0315
-1.7527,1.5002,-5.6259,6.5582,6.3191
4.8354,-7.6503,3.6847,1.5811,-8.2015
-0.1240,1.6402,2.9679,0.8025,1.1667
7.2846,6.1979,-14.2378,-1.0237,-1.0239
-8.7825,0.5988,6.2368,-5.5830,1.2172
-4.7324,-3.6817,6.8690,-2.9515,1.9969
-9.1810,9.4919,2.7421,-0.9906,2.3203
-7.1974,6.0323,-1.3724,-1.2343,-2.1427
-3.3580,3.0991,1.4924,3.7601,0.1041
2.5539,-2.7528,10.5419,-7.8008,6.1973
6.5078,-4.2411,11.1809,5.2608,4.8967
