# Power balance sample — 200 samples x 6 buses
# Columns: net injections (MW) per bus
# ~12 fault samples with large imbalance
3.0472,-10.3998,7.5045,9.4056,-19.5104,9.9499
-13.0218,1.2784,-3.1624,-0.1680,-8.5304,23.5678
8.7940,7.7779,0.6603,11.2724,4.6751,-33.2004
-8.5929,3.6875,-9.5888,8.7845,-0.4993,6.2407
-1.8486,-6.8093,12.2254,-1.5453,-4.2833,2.2612
-3.5213,5.3231,3.6544,4.1273,4.3082,-13.8747
21.4165,-4.0642,-5.1224,-8.1377,6.1598,-10.2185
11.2897,-1.1395,-8.4016,-8.2448,6.5059,-0.0285
7.4325,5.4315,-6.6551,2.3216,1.1669,-9.6596
2.1869,8.7143,2.2360,6.7891,0.6758,-20.5831
2.8912,6.3129,-14.5716,-3.1967,-4.7037,13.2062
-6.3888,-2.7514,14.9494,-8.6583,9.6828,-6.7616
-16.8287,-3.3489,1.6275,5.8622,7.1123,5.5505
7.9335,-3.4873,-4.6235,8.5798,-1.9130,-6.5722
-12.7569,-11.3329,-9.1945,4.9716,1.4243,26.8361
6.9049,-4.2725,1.5854,6.2559,31.8401,-7.4312
4.5678,-6.6193,-3.6305,-3.8174,-11.9584,21.4604
4.8697,-4.6940,0.1249,4.8075,4.4653,-9.5871
6.6539,-0.9849,-4.2330,-0.7972,-16.8733,16.2177
-14.4711,-13.2270,-9.9725,38.5704,-9.0548,42.7586
-3.7816,12.9923,-3.5626,7.3752,-9.3362,-3.6700
-2.0544,-9.5002,-3.3903,8.4031,-17.2732,23.8309
4.3442,2.3774,-5.9415,-14.4606,0.7213,12.9797
-5.2949,2.3268,0.2185,16.0178,-2.3936,-10.8438
-10.2350,1.7928,2.2000,13.5919,8.3511,-15.8061
3.5687,14.6330,-11.8876,-6.3975,-9.2658,9.3309
-31.2895,-13.7669,6.3515,-2.2222,-14.7081,28.1347
-10.1558,3.1351,8.3813,19.9673,29.1386,-50.4647
4.1441,-9.8954,-21.3205,2.6771,-8.1294,32.5238
-4.1536,-6.1210,-1.4079,10.6598,1.5705,-0.4956
-1.5863,-10.3565,-16.7468,-4.8631,-0.5378,34.1500
17.6793,1.3027,9.8274,-4.9930,-11.8494,-11.9569
-9.6512,-7.2523,21.2847,-8.2139,8.3849,-4.5773
-9.0293,9.3157,3.8495,-1.5664,-0.4076,-2.1377
-6.5479,38.0541,-4.5498,-12.2561,-12.7794,31.6460
-30.3218,15.7909,1.5999,-1.1864,2.8583,-20.7887
13.0600,2.1938,-4.1093,11.0629,4.2876,-26.4457
15.3576,1.8323,-12.2447,-13.6816,16.5093,-7.8008
17.2367,-1.7952,-3.8319,14.6144,-11.0705,-15.1133
22.4489,6.4333,-3.9461,-0.0512,-1.6344,8.1796
3.3757,14.0748,0.9058,6.4394,-20.5017,-4.3418
-0.4872,-8.4323,-12.1881,-8.7815,-3.3412,33.2791
9.1590,-13.2639,0.3063,-4.8417,-3.2767,11.9519
10.0276,5.3812,13.3740,-1.5451,-6.9594,-20.2731
-2.2386,2.4250,1.7657,-10.8439,0.9049,7.9488
2.2823,25.1747,18.7684,-8.5324,-2.8738,-34.8622
-14.6344,-5.9071,3.1561,12.0585,-7.2908,12.5909
-6.5415,-21.4729,-1.6267,-10.6241,-5.2944,45.5867
-8.7686,-0.9426,-17.5773,-14.6705,21.2925,20.6187
-12.8742,-10.9679,18.3691,29.0507,-11.7157,-11.8402
-3.6825,3.4156,17.2870,-9.8686,-2.4528,-4.7608
7.7734,4.3477,-3.7616,-1.3382,-13.7490,6.7175
-2.3817,-2.6639,2.3217,-5.5533,4.7154,3.5673
10.1272,1.5543,3.5176,0.5316,0.0008,-15.6092
-7.2156,3.1649,-0.9729,20.9317,15.7335,-31.7106
3.8585,-7.6306,-11.1241,11.9114,2.6275,0.4309
4.8014,-17.4459,9.2744,4.5442,-11.1043,9.9376
-4.7152,2.6372,0.5247,-2.9217,-1.0349,5.5306
-2.5198,1.5256,14.7149,-25.6666,-2.3685,14.3202
